OBJECTID,ROUTE_NM,STAT,SYS,DESC_,LEGIS,LINK,Shape__Length
1,IH0069E-KG,Existing,I-69 System Existing,"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,103232.913607526
2,US0281-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,99820.7778271277
3,IH0069C-KG,Existing,I-69 System Existing,"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,31439.5029931013
4,US0084-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,26837.4028544025
5,US0077-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,111213.014212898
6,US0077-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,27708.5693099512
7,US0077-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,7144.37246027953
8,US0059-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,500586.013514522
9,US0281-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,239610.970810903
10,US0077-KG,Future,I-69 System (Future),"I-69 System in Texas, approximately 1100 miles in length, spans 34 Texas counties and includes portions of US 59, US 84, US 77, US 281, SH  550, and SH 44.","ISTEA of 1991 as amended, High Priority Corridors (for I-69, it’s Corridors 18 and 20 in Texas)",https://www.fhwa.dot.gov/Planning/national_highway_system/high_priority_corridors/hpcor.cfm#l18,131730.577703612
