FID,OBJECTID,RTE_NM,RTE_PRFX,RTE_NBR,RTE_SFX,RDBD_TYPE,GID,BEGIN_DFO,END_DFO,ASSET_NM,ASSET_ID,SYSTEM,NHS,NHS_TYPE,SHAPE_STLe,GlobalID,SHAPE_Length
1,,057AA1055,CR,1055,,KG,1641341087,0,0.295,NHS,75486139,Off,NHS - non connector,NHS,,{0463DEF7-E04A-4326-90E1-2E32241E0219},0.00498457834447052
2,,102A11366,CR,11366,,KG,144846,1.332,1.401,NHS,13593648,Off,NHS - non connector,NHS,,{5E055E23-E98C-4315-BB34-A6EA6D2A9B1C},0.0010442146967789
3,,102A13991,CR,13991,,KG,67128,0,2.894,NHS,13516181,Off,Major Port Facility - connector,NHS - Intermodal Connector,,{6707E954-3010-40C7-9D56-47515B676426},0.0460554987189126
4,,102A13992,CR,13992,,KG,198454,0,1.522,NHS,13647331,Off,Major Port Facility - connector,NHS - Intermodal Connector,,{2CAEF8C9-FE85-4079-BEBE-617A5C3F2A1D},0.0245053569477128
5,,102A13995,CR,13995,,KG,1690329680,0.229,1.826,NHS,106961884,Off,Major Port Facility - connector,NHS - Intermodal Connector,,{A0B02A4A-F316-4030-9D1C-4F2D0AFA07A7},0.023182049599204
6,,102A13995,CR,13995,,KG,1690329682,0.07,0.229,NHS,106961927,Off,Major Port Facility - connector,NHS - Intermodal Connector,,{EC72C3DF-29D8-4FA3-9520-FF914E68DE7F},0.00230745698908573
7,,102A14037,CR,14037,,KG,195484,0,0.164,NHS,13644402,Off,Major Rail/Truck Terminal - connector,NHS - Intermodal Connector,,{2806540E-A1E0-4CE4-A4D3-6F56D4C1519E},0.0023797673268792
8,,102A15011,CR,15011,,KG,206713,0,2.903,NHS,13655591,Off,NHS - non connector,NHS,,{3DB3853E-E2EA-4C08-A965-91C68EE341F1},0.0484555013192066
9,,102A15039,CR,15039,,KG,1654042067,0,1.084,NHS,90527783,Off,NHS - non connector,NHS,,{E0C0526A-18C9-45C2-8D80-884A3E213014},0.0157444756361075
10,,102A15071,CR,15071,,KG,1644192463,0,4.285,NHS,77393275,Off,NHS - non connector,NHS,,{6051E23B-A5B1-4675-B31C-C831F6ABCF10},0.0631816874552883
11,,102A15125,CR,15125,,KG,160116,0,1.906,NHS,13609294,Off,NHS - non connector,NHS,,{B78E2994-35E4-4A52-B061-B9BF65F72D49},0.0277828681815501
12,,102A15281,CR,15281,,KG,127355,0,1.956,NHS,13576140,Off,Major Port Facility - connector,NHS - Intermodal Connector,,{3288BD82-FED1-4246-A336-AE64CB2A69ED},0.0284586960712743
